dist,elev
-3.6233005264361866,280
-3.6233005264361866,280
-3.612870984969847,280
-3.6024414435035075,280
-3.592011902037072,280
-3.5815823605707324,280
-3.5711528191042974,280
-3.5607232776378615,280
-3.5607232776378615,280
-3.5502937361715223,280
-3.5398641947051828,280
-3.5294346532387477,280
-3.519005111772312,280
-3.5085755703059727,280
-3.498146028839537,280
-3.4877164873731976,280
-3.4877164873731976,280
-3.477286945906762,280
-3.466857404440326,280
-3.456427862973987,280
-3.445998321507552,280
-3.435568780041116,280
-3.425139238574777,280
-3.414709697108438,280
-3.4042801556420024,279
-3.4042801556420024,279
-3.393850614175567,279
-3.3834210727092273,279
-3.372991531242888,279
-3.3625619897764523,279
-3.3625619897764523,279
-3.3521324483100168,279
-3.341702906843677,279
-3.3312733653773385,279
-3.320843823910902,279
-3.320843823910902,279
-3.310414282444467,279
-3.2999847409780316,278
-3.289555199511692,278
-3.279125658045353,278
-3.2686961165789175,278
-3.258266575112482,278
-3.247837033646143,278
-3.237407492179707,278
-3.226977950713368,278
-3.226977950713368,278
-3.216548409247028,278
-3.206118867780593,278
-3.1956893263141577,279
-3.185259784847818,279
-3.174830243381382,279
-3.164400701915043,279
-3.1539711604486076,279
-3.1539711604486076,279
-3.143541618982172,279
-3.133112077515833,279
-3.1226825360494934,279
-3.1122529945830584,279
-3.101823453116623,280
-3.0913939116502833,280
-3.080964370183944,280
-3.080964370183944,280
-3.0705348287175083,280
-3.0601052872511687,280
-3.049675745784733,280
-3.049675745784733,280
-3.0392462043182977,280
-3.0288166628518627,280
-3.018387121385427,280
-3.018387121385427,280
-3.0079575799190876,280
-2.997528038452652,281
-2.9870984969863126,281
-2.976668955519973,281
-2.966239414053538,281
-2.9558098725871984,281
-2.945380331120763,281
-2.945380331120763,281
-2.934950789654327,282
-2.9245212481879883,282
-2.914091706721553,282
-2.9036621652551173,282
-2.8932326237887778,283
-2.882803082322438,283
-2.872373540856003,283
-2.8619439993896636,283
-2.8619439993896636,283
-2.851514457923228,283
-2.8410849164567926,283
-2.830655374990453,284
-2.820225833524018,284
-2.8097962920576784,284
-2.799366750591339,285
-2.7889372091249034,285
-2.778507667658564,284
-2.778507667658564,284
-2.768078126192129,285
-2.7576485847257888,285
-2.7472190432593537,286
-2.7367895017929182,286
-2.726359960326483,286
-2.726359960326483,286
-2.715930418860143,286
-2.715930418860143,286
-2.705500877393708,286
-2.695071335927368,286
-2.684641794460933,285
-2.684641794460933,285
