Position,Bib,TempsEtape,Etape
18,112,2:36:33,7
19,111,2:36:33,7
20,114,2:36:33,7
21,85,2:36:33,7
22,101,2:36:33,7
23,52,2:36:33,7
24,45,2:36:33,7
25,113,2:36:33,7
26,136,2:36:33,7
27,14,2:36:33,7
28,116,2:36:33,7
29,92,2:36:33,7
30,82,2:36:33,7
31,134,2:36:33,7
32,71,2:36:33,7
33,81,2:36:33,7
34,22,2:36:33,7
35,46,2:36:33,7
36,84,2:36:33,7
37,73,2:36:33,7
38,34,2:36:33,7
39,62,2:36:33,7
40,105,2:36:33,7
41,83,2:36:33,7
42,132,2:36:33,7
43,44,2:36:33,7
44,16,2:36:33,7
45,133,2:36:33,7
46,56,2:36:33,7
47,102,2:36:33,7
48,91,2:36:33,7
49,64,2:36:33,7
50,24,2:36:33,7
51,13,2:36:33,7
52,72,2:36:33,7
53,63,2:36:33,7
54,75,2:36:33,7
55,23,2:36:33,7
56,93,2:36:33,7
57,36,2:36:33,7
58,41,2:36:51,7
59,33,2:37:14,7
60,35,2:42:03,7
61,122,2:42:03,7
62,74,2:42:22,7
63,106,2:44:13,7
64,131,2:44:16,7
65,61,2:44:20,7
66,95,2:48:40,7
67,86,2:49:21,7
